">> 英文版 <<",,,,,,,,,,,,,
,物品id,物品名字,,野外怪物,野外boss,野外大boss,副本怪物,副本boss,副本大boss,银英boss,世界boss,最低掉落等级,最高掉落等级
ID,item_id,item_name,,t1,t2,t3,t4,t5,t6,t7,t8,minlev,maxlev
1,,绿色璀璨宝钻,"Green Identify Gem",0.006000,0.030000,0,0.009000,0.040000,0.060000,0,0,1,24
2,,绿色璀璨宝钻,"Green Identify Gem",0.003000,0.020000,0,0.004500,0.030000,0.045000,0,0,25,39
3,,绿色璀璨宝钻,"Green Identify Gem",0.001000,0.010000,0,0.001500,0.020000,0.030000,0,0,40,99
4,6389,蓝色璀璨宝钻,"Chrono Chip",0.000300,0.001000,0,0.000400,0.010000,0.015000,0.003000,0.050000,15,39
5,6389,蓝色璀璨宝钻,"Chrono Chip",0.000120,0.001000,0,0.000200,0.005000,0.007500,0.003000,0.050000,40,99
6,,金色璀璨宝钻,"Golden Identify Gem",0.000001,0,0,0,0.000200,0.000300,0,0.010000,25,99
7,,小块辉煌宝石,"Small Emerald",0.001000,0,0,0.002000,0,0,0,0,1,24
8,,小块辉煌宝石,"Small Emerald",0.000500,0,0,0.001000,0,0,0,0,25,39
9,,小块辉煌宝石,"Small Emerald",0.000300,0,0,0.000500,0,0,0,0,40,99
10,,大块辉煌宝石,"Medium Emerald",0.000300,0,0,0,0.008000,0.012000,0,0.050000,15,39
11,,大块辉煌宝石,"Medium Emerald",0.000200,0,0,0,0.004000,0.006000,0,0.050000,40,99
12,6389,完整辉煌宝石,"Chrono Chip",0.000003,0,0,0,0.001000,0.002000,0,0,25,99
13,,小块光芒宝石,"Small Ruby",0.002000,0,0,0.004000,0,0,0,0,1,24
14,,小块光芒宝石,"Small Ruby",0.001000,0,0,0.002000,0,0,0,0,25,39
15,,小块光芒宝石,"Small Ruby",0.000600,0,0,0.001000,0,0,0,0,40,99
16,,大块光芒宝石,"Medium Ruby",0.000600,0,0,0,0.016000,0.024000,0,0.080000,15,39
17,,大块光芒宝石,"Medium Ruby",0.000400,0,0,0,0.008000,0.012000,0,0.080000,40,99
18,6389,完整光芒宝石,"Chrono Chip",0.000006,0,0,0,0.002000,0.004000,0,0,25,99
19,,宠物口粮,"Pet Food x 1",0.015000,0.030000,0,0.020000,0,0,0,0,1,30
20,,宠物口粮,"Pet Food x 1",0.010000,0.020000,0,0.012000,0,0,0,0,31,40
21,,宠物口粮,"Pet Food x 5",0.003000,0.008000,0,0.004000,0.020000,0.030000,0.010000,0.300000,35,99
22,6389,神奇宝盒,"Cryptic Treasure Box",0.000100,0,0,0,0.002000,0.003000,0,0,20,99
23,,稻草人,"Jackstraw x 1",0.000600,0,0,0,0.010000,0.015000,0,0,1,24
24,,稻草人,"Jackstraw x 1",0.000300,0,0,0,0.004000,0.006000,0,0.200000,25,99
25,,金刚丹,"Golden Light Pill x 1",0.002000,0,0,0,0.020000,0.030000,0,0,1,24
26,,金刚丹,"Golden Light Pill x 1",0.000500,0,0,0,0.008000,0.012000,0,0,25,99
27,,"药师丹 ","Apothecary Pill x 1",0.002000,0,0,0,0.020000,0.030000,0,0,1,24
28,,"药师丹 ","Apothecary Pill x 1",0.000500,0,0,0,0.008000,0.012000,0,0,25,99
29,,强力回血药剂(1级),"Fighting Healing Potion (lvl 1) x 5",0.003000,0,0,0.004500,0,0,0,0,1,24
30,,强力回魔药剂(1级),"Fighting Mana Potion (lvl 1) x 5",0.002000,0,0,0.003000,0,0,0,0,1,24
31,,强力回血药剂(2级),"Fighting Healing Potion (lvl 2) x 5",0.000600,0,0,0.000900,0,0,0,0,25,49
32,,强力回魔药剂(2级),"Fighting Mana Potion (lvl 2) x 5",0.000400,0,0,0.000600,0,0,0,0,25,49
33,,返回符,"Return Charm x 2",0.000500,0.005000,0,0.001500,0,0,0,0,1,49
34,,天地精华,"Nimbus Quartz",0.002000,0.020000,0,0.003600,0,0,0,0,1,39
35,,天地精华,"Nimbus Quartz",0.001000,0.010000,0,0.001800,0,0,0,0,40,99
36,6389,神奇豆子,"Rainbow Stone",0.000160,0,0,0,0,0,0.025000,0.200000,1,99
37,6389,钛晶,"Chrono Chip",0.000020,0,0,0,0.001000,0.002000,0,0,25,99
38,,元灵精魄,"Pith of Energy Stone",0.000600,0,0,0,0.004000,0.006000,0.010000,0.100000,30,99
39,,紫玄果,"Occult Berry",0.000200,0,0,0,0.004000,0.006000,0.010000,0.100000,30,99
